file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_mi_m_sf12_l.tga,147d0462f0735403ac731efbf243cdc066a77b7519206ddf9209b9b51ab1f0be,po_mi_m_sf12_l.dds,583fd816c364362e81ccd2148ae2573d6bd2ea2b792eaa380b1136befa24234b,128,256,DXT1,98322,16512
po_mi_m_sf12_m.tga,bb243f80eb3105fd00f28c0fca9d824234e8bb7ad19349782975d6578b7f9b3b,po_mi_m_sf12_m.dds,77d615b5ba925bd238a856802f47e04fcd23261eab75ddc3523058ff867e8174,64,128,DXT1,24594,4224
po_mi_m_sf12_s.tga,d437cdcde2f99ae38ffe78a1e67e2114c966ca8d79ba5310791a730af3c1829d,po_mi_m_sf12_s.dds,eda1f31fa2adb46646340b8c0fc1e07b21474d74d8b89870d8ff4651b404d85d,32,64,DXT1,6162,1152
po_mi_m_sf12_t.tga,636eebaffa4ec3854b85c434ef9ce80901660635d60e2c1142c0c65976c702a6,po_mi_m_sf12_t.dds,f3d508dabd07d878930af1333bb6c430eddea6003502ec62567df645eae5a722,16,32,DXT1,1554,384
po_mi_m_sf14_l.tga,bbe40c45ecca296f5cd49126c6f40c3e8a92b7930a40676099995747ac8909a5,po_mi_m_sf14_l.dds,4795abb4f018f3bc8184ef5038b0c9beb2ef7761ac31e5305070a61e7cfb8597,128,256,DXT1,98322,16512
po_mi_m_sf14_m.tga,fdc81de00c32c30ab43455a7ed0b651ce3afb7ac5ecf6049d363196558614b64,po_mi_m_sf14_m.dds,510ed9650c6d12be3f61c7e6fa06f77b47712e536cccad9a7838a0687a12a2db,64,128,DXT1,24594,4224
po_mi_m_sf14_s.tga,cd087106e8c443a5f8ca61c3fa6afc6218fbb319d5207a846e9da9bbd4951b91,po_mi_m_sf14_s.dds,7b465fc82667fcdf43dc7d17b57103054b68ed3cb5db9706be9c6e7cdf587f9d,32,64,DXT1,6162,1152
po_mi_m_sf14_t.tga,b575a63c9f423d3600e6aa577540a3802980c33e2c52789aac9c53df9320a1c5,po_mi_m_sf14_t.dds,4b6cd22885b4664cfa321780a10066b15465336c78c4771d4d78b607c439d890,16,32,DXT1,1554,384
po_mi_m_sf16_l.tga,eca46942c18cf9a311bd6d6a39f9ade0c7f2a2fb87c3d7916166e05ec702c0c7,po_mi_m_sf16_l.dds,c23a4c3cc06aa2f7b2d8840355ce18ea07873f01e8514b9f6787c91bcdcac1ba,128,256,DXT1,98322,16512
po_mi_m_sf16_m.tga,3d457387a8d8169dad9e63cb611ae5cf906578949d77a1da543c5ad50d311fc6,po_mi_m_sf16_m.dds,c746112ad6ae07083244904567a47b6461937cb0b37f4c94e9fe5ebba1e352e0,64,128,DXT1,24594,4224
