file,canonical,reason,original_sha256,corrected_sha256,canonical_sha256
po_dcurtain020_m.tga,po_dcurtain020_l.tga,image comparison and visual review,2a154890cb7cfc86ed553d9bfbb9654c6bc0a1bb7b6b40e3a9fc1ac1d38cfc07,9270d2b95cf86ad08f08f8efe62e23a7724c9341d045cb20aa24d6a65de06345,8130f8cdddcb726a87787566b211ab61bd119129516ec188ce9e77e33ebf9e70
po_dcurtain024_m.tga,po_dcurtain024_l.tga,image comparison and visual review,cd71111c0de6df3ba37124bd7b7eb0168c718b293fe9b19b1977e0c2737a4a4a,013a9d3c3d9a2652813ca05e9ed7dd4060f1224f9ae4ba3f7a5257b7cf3fadef,5848131abfeedee81f7d3e497472505ed2bd5f6c46746cef552a2e9173695be4
po_dcurtain025_m.tga,po_dcurtain025_l.tga,image comparison and visual review,4004f23a9a5d48a7c538caf5062fba6b396b7d73108da5fbba2591cfb157485e,5d633134cdb1cbee19473a85ac47c386cefb12a54f69f24e887f48b3b2534c0c,4a54ba8d2c892e17e4d67fc4e02cd10ce083225d47e1985c31c3491c38701c00
po_dcurtain051_m.tga,po_dcurtain051_l.tga,image comparison and visual review,ebe22525cd5976d717a924cdb2dbdb5f5150b1d24f976555df50d2f1a232abe8,6db424548636ad6d10923526d368858a4bbd7d5de13e41df96937a17eb31948e,93004791538a2d67b2560f571e910e71119b723bfb411ada279f49d915ba73d1
po_dcurtain056_m.tga,po_dcurtain056_l.tga,image comparison and visual review,9a300a781f470c6f9b3a4db01d27024f2c64200e4358e9abac2d5432df00f72d,0018bf8cb9b8fcdf164bc345c31b027955ad62d86c39c77210eecea5a0114368,f5d7837827727196fbb435a1edb85ae7bc5e1556fc07b10e36199daa61d76846
po_dcurtain057_m.tga,po_dcurtain057_l.tga,image comparison and visual review,82cf2e97e111c35fd51f2b541c90e9b42edad15d820619fb3e626ac00e15e895,125fababac19fdfb220267e71b3801246e497b404377f248272f4b9db00be4c1,25abcf96be869076331852def0b1d0b1c71e3fbf5d00cc5fe76912cc0afc67d8
po_dcurtain058_m.tga,po_dcurtain058_l.tga,image comparison and visual review,f429bb2a8a9471cd0b9397a80d0bc71252af46ba059813a1172de4fae2cf2ed1,870ed63bd85d6481a620d1127793f645fee00e5bdbd650bd22249a262b67819d,08e2a0e5d35aa5c8425f4187868d8092e09116b80931ed1e3af1195a87fb935f
po_dcurtain058_t.tga,po_dcurtain058_l.tga,visual review of structural asymmetry,ae332a525b82ec2083ab98c663ca773a842cd867f13ef87f41dc33255e4b3e83,86d1cc47ff66e6312a64b301fad80ec70cc3ef7b1e965fff10421bab01d104c4,08e2a0e5d35aa5c8425f4187868d8092e09116b80931ed1e3af1195a87fb935f
po_dcurtain060_m.tga,po_dcurtain060_l.tga,image comparison and visual review,d0893d248869bbf42f654d5ab070b4f0474f36994f26de1b0f4f2987aa6bf3f0,22a3a687861ae6eeb04e92cc01e2a990443989ef0fdb097a4932b6260471464c,56ac05eea0796cc254505e1f4ea52c65c4c0b065c8e527f0fcd34126ee5b0046
po_dcurtain061_m.tga,po_dcurtain061_l.tga,image comparison and visual review,341b5923640eda1fba02d4d19f74db76eb56a3375966428392fbf310fdea1c1e,14f012ef480a096edc3cd085cc8cc002da6ebc2819da3c83de1cd877aee9cb34,cb551130b9e4237cff1df6f92f42f4f94921012f4dc8b9da5f8955342d0a655e
